event_id,transaction_id,customer_id,customer_name,customer_email,customer_phone,merchant_category,gateway_provider,payment_method,user_device,event_type,failure_category,created_at,amount,customer_age_days,prev_payment_count,prev_success_count,prev_failure_count,historical_success_rate,days_since_last_success,customer_activity_score,failure_category_encoded,attempt_number,hours_since_failure,invoice_age_days,prev_recovery_actions,prev_recovery_outcomes,recovered
EV_100000,TXN_202600000,CUST_2891,Sneha Reddy,sneha.reddy35@gmail.com,+919354034129,B2B Wholesale,Razorpay,UPI,Mobile,failed_payment,bank_downtime,2026-06-10 07:51:37,50000.0,1393,47,28,19,0.5957,144,6.16,4,1,15.8,0,3,3,1
EV_100001,TXN_202600001,CUST_3106,Vivaan Patel,vivaan.patel19@yahoo.com,+916572153296,E-commerce Retail,Razorpay,UPI,Mobile,checkout_abandonment,user_timeout,2026-07-19 22:51:37,8210.03,444,49,35,14,0.7143,3,3.88,3,2,6.37,0,3,3,1
EV_100002,TXN_202600002,CUST_2840,Riya Rao,riya.rao26@enterprise.in,+919974376101,B2B Wholesale,PayU,Credit Card,Mobile,failed_payment,insufficient_funds,2026-06-03 10:04:37,1061.96,1392,24,20,4,0.8333,49,8.82,1,1,6.92,0,1,1,1
EV_100003,TXN_202600003,CUST_3117,Rohan Reddy,rohan.reddy60@yahoo.com,+917303509195,E-commerce Retail,PayU,UPI,Desktop,failed_payment,user_timeout,2026-08-17 14:05:37,1820.88,605,36,23,13,0.6389,79,7.73,3,2,4.74,0,2,2,1
EV_100004,TXN_202600004,CUST_2403,Vihaan Bhat,vihaan.bhat19@company.in,+919148561166,E-commerce Retail,Stripe,UPI,Mobile,checkout_abandonment,user_timeout,2026-07-06 17:32:37,3551.68,1471,3,2,1,0.6667,96,5.05,3,1,3.8,0,3,2,1
EV_100005,TXN_202600005,CUST_2009,Diya Mehta,diya.mehta3@enterprise.in,+916149505352,E-commerce Retail,Stripe,UPI,Tablet,failed_payment,insufficient_funds,2026-06-03 21:23:37,3017.95,661,49,43,6,0.8776,177,6.69,1,1,1.59,0,0,0,0
EV_100006,TXN_202600006,CUST_2479,Saanvi Reddy,saanvi.reddy73@yahoo.com,+917606148055,SaaS,Stripe,UPI,Desktop,checkout_abandonment,user_timeout,2026-06-15 11:13:37,13704.85,439,42,36,6,0.8571,116,4.97,3,2,0.1,0,0,0,1
EV_100007,TXN_202600007,CUST_1805,Vihaan Singh,vihaan.singh21@yahoo.com,+916491603670,E-commerce Retail,Razorpay,Credit Card,Tablet,failed_payment,insufficient_funds,2026-08-16 18:21:37,1985.63,335,2,2,0,1.0,53,8.02,1,1,7.87,0,0,0,1
EV_100008,TXN_202600008,CUST_2455,Diya Kulkarni,diya.kulkarni53@company.in,+916032663797,B2B Wholesale,Stripe,Bank Transfer / NEFT,Tablet,overdue_invoice,insufficient_funds,2026-07-14 16:52:37,12342.03,980,25,16,9,0.64,130,8.95,1,1,112.28,33,1,1,1
EV_100009,TXN_202600009,CUST_1493,Diya Malhotra,diya.malhotra34@company.in,+918812291645,E-commerce Retail,PayU,Wallet,Mobile,checkout_abandonment,user_timeout,2026-07-24 18:53:37,19628.89,871,33,21,12,0.6364,10,6.71,3,1,3.72,0,3,2,0
